"","any","idMunicipi","nomMunicipi","idComarca","nomComarca","nomAT","idAT","entendre","parlar","llegir","escriure","poblacio_2_anys_i_mes","entendre_pct","parlar_pct","llegir_pct","escriure_pct","entendre_com","parlar_com","llegir_com","escriure_com","entendre_at","parlar_at","llegir_at","escriure_at"
"223",1996,"080569","Castelldefels","11","Baix Llobregat","Metropolità","AT01",34483,23812,22908,13994,37684,92,63,61,37,94,72,70,44,96,78,75,49
"224",1991,"080569","Castelldefels","11","Baix Llobregat","Metropolità","AT01",28185,15834,17135,8735,32262,87,49,53,27,93,64,65,38,95,73,72,46
"225",2011,"080575","Castell de l'Areny","14","Berguedà","Comarques Centrals","AT06",72,72,72,68,72,100,100,100,94,99,93,93,73,99,91,91,72
"226",2001,"080575","Castell de l'Areny","14","Berguedà","Comarques Centrals","AT06",58,58,54,42,58,100,100,93,72,99,94,90,70,99,91,89,68
"227",1996,"080575","Castell de l'Areny","14","Berguedà","Comarques Centrals","AT06",50,50,43,35,50,100,100,86,70,100,95,86,60,99,93,88,60
"228",1991,"080575","Castell de l'Areny","14","Berguedà","Comarques Centrals","AT06",40,35,31,14,40,100,88,78,35,100,93,84,57,99,90,83,54
"229",2011,"080581","Castellet i la Gornal","03","Alt Penedès","Penedès","AT08",2148,1676,1783,1268,2203,98,76,81,58,98,85,86,65,97,82,84,62
"230",2001,"080581","Castellet i la Gornal","03","Alt Penedès","Penedès","AT08",1407,1150,1102,682,1457,97,79,76,47,97,86,84,58,97,83,81,56
"231",1996,"080581","Castellet i la Gornal","03","Alt Penedès","Penedès","AT08",1204,1061,1015,542,1221,99,87,83,44,98,89,84,55,97,85,80,51
"232",1991,"080581","Castellet i la Gornal","03","Alt Penedès","Penedès","AT08",1080,962,914,475,1096,99,88,83,43,98,87,83,51,98,82,79,48
"233",2011,"080594","Castellfollit del Boix","07","Bages","Comarques Centrals","AT06",397,367,357,287,405,98,91,88,71,98,85,87,66,99,91,91,72
"234",2001,"080594","Castellfollit del Boix","07","Bages","Comarques Centrals","AT06",376,360,351,258,377,100,95,93,68,98,87,85,64,99,91,89,68
"235",1996,"080594","Castellfollit del Boix","07","Bages","Comarques Centrals","AT06",327,323,313,193,329,99,98,95,59,98,88,84,56,99,93,88,60
"236",1991,"080594","Castellfollit del Boix","07","Bages","Comarques Centrals","AT06",306,292,278,172,308,99,95,90,56,98,85,80,51,99,90,83,54
"237",2011,"080608","Castellfollit de Riubregós","06","Anoia","Comarques Centrals","AT06",184,166,180,135,184,100,90,98,73,98,86,88,66,99,91,91,72
"238",2001,"080608","Castellfollit de Riubregós","06","Anoia","Comarques Centrals","AT06",216,207,206,190,218,99,95,94,87,98,87,85,63,99,91,89,68
"239",1996,"080608","Castellfollit de Riubregós","06","Anoia","Comarques Centrals","AT06",234,230,216,185,234,100,98,92,79,98,89,84,55,99,93,88,60
"240",1991,"080608","Castellfollit de Riubregós","06","Anoia","Comarques Centrals","AT06",242,237,215,126,244,99,97,88,52,98,85,79,52,99,90,83,54
"241",2011,"080615","Castellgalí","07","Bages","Comarques Centrals","AT06",1911,1506,1592,1145,1934,99,78,82,59,98,85,87,66,99,91,91,72
"242",2001,"080615","Castellgalí","07","Bages","Comarques Centrals","AT06",919,809,738,579,936,98,86,79,62,98,87,85,64,99,91,89,68
"243",1996,"080615","Castellgalí","07","Bages","Comarques Centrals","AT06",759,688,664,440,768,99,90,86,57,98,88,84,56,99,93,88,60
"244",1991,"080615","Castellgalí","07","Bages","Comarques Centrals","AT06",681,583,568,317,688,99,85,83,46,98,85,80,51,99,90,83,54
"245",2011,"080620","Castellnou de Bages","07","Bages","Comarques Centrals","AT06",1115,1018,1012,845,1121,99,91,90,75,98,85,87,66,99,91,91,72
"246",2001,"080620","Castellnou de Bages","07","Bages","Comarques Centrals","AT06",580,526,523,391,585,99,90,89,67,98,87,85,64,99,91,89,68
"247",1996,"080620","Castellnou de Bages","07","Bages","Comarques Centrals","AT06",369,334,332,232,371,99,90,89,63,98,88,84,56,99,93,88,60
"248",1991,"080620","Castellnou de Bages","07","Bages","Comarques Centrals","AT06",191,152,162,103,191,100,80,85,54,98,85,80,51,99,90,83,54
"249",2011,"080636","Castellolí","06","Anoia","Penedès","AT08",530,511,494,411,530,100,96,93,78,98,86,88,66,97,82,84,62
"250",2001,"080636","Castellolí","06","Anoia","Penedès","AT08",419,408,399,309,423,99,96,94,73,98,87,85,63,97,83,81,56
"251",1996,"080636","Castellolí","06","Anoia","Penedès","AT08",413,409,399,279,413,100,99,97,68,98,89,84,55,97,85,80,51
"252",1991,"080636","Castellolí","06","Anoia","Penedès","AT08",422,392,368,280,422,100,93,87,66,98,85,79,52,98,82,79,48
"253",2011,"080641","Castellterçol","42","Moianès","Metropolità","AT01",2228,1985,2012,1671,2233,100,89,90,75,99,90,90,72,97,79,82,61
"254",2001,"080641","Castellterçol","42","Moianès","Metropolità","AT01",1897,1753,1706,1218,1948,97,90,88,63,99,92,90,68,96,78,78,54
"255",1996,"080641","Castellterçol","42","Moianès","Metropolità","AT01",1914,1809,1671,1182,1942,99,93,86,61,99,94,90,64,96,78,75,49
